"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 17 23:15:54 BDT 2022","Thu Feb 17 23:16:23 BDT 2022","28969","Suite","Test","testCasesPackage.T002_Login_And_Purchase","testCasesPackage.T002_Login_And_Purchase","loginAndPurchase","Perform Login, Purchase, and Logout","Test Description: This test will log-in to automationpractice.com, Then add two different category products to the cart and complete the checkout process with payment. Finally, It will Sign out from the system."
"passed","Thu Feb 17 23:14:49 BDT 2022","Thu Feb 17 23:15:09 BDT 2022","20047","Suite","Test","testCasesPackage.T001_CreateNewAccount","testCasesPackage.T001_CreateNewAccount","registration","Perform registration process for new users and Sign Out","Test Description: This test will go to automationpractice.com and browse to the registration page. Then complete the registration process by providing new user Personal and address information. Finally, sign out from the system."
"passed","Thu Feb 17 23:14:26 BDT 2022","Thu Feb 17 23:14:49 BDT 2022","22815","Suite","Test","testCasesPackage.T001_CreateNewAccount","testCasesPackage.T001_CreateNewAccount","registration","Perform registration process for new users and Sign Out","Test Description: This test will go to automationpractice.com and browse to the registration page. Then complete the registration process by providing new user Personal and address information. Finally, sign out from the system."
"passed","Thu Feb 17 23:15:09 BDT 2022","Thu Feb 17 23:15:54 BDT 2022","44884","Suite","Test","testCasesPackage.T002_Login_And_Purchase","testCasesPackage.T002_Login_And_Purchase","loginAndPurchase","Perform Login, Purchase, and Logout","Test Description: This test will log-in to automationpractice.com, Then add two different category products to the cart and complete the checkout process with payment. Finally, It will Sign out from the system."
